@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,33480000,2023-07-08 23:45:00,34.10,64.00,0.00
DadosHidrometereologicos2,1,33480000,2023-07-08 23:30:00,34.10,64.00,0.00
DadosHidrometereologicos3,2,33480000,2023-07-08 23:15:00,34.10,64.00,0.00
DadosHidrometereologicos4,3,33480000,2023-07-08 23:00:00,34.10,64.00,0.00
DadosHidrometereologicos5,4,33480000,2023-07-08 22:45:00,34.10,64.00,0.00
DadosHidrometereologicos6,5,33480000,2023-07-08 22:30:00,34.10,64.00,0.00
DadosHidrometereologicos7,6,33480000,2023-07-08 22:15:00,34.10,64.00,0.00
DadosHidrometereologicos8,7,33480000,2023-07-08 22:00:00,34.10,64.00,0.00
DadosHidrometereologicos9,8,33480000,2023-07-08 21:45:00,34.10,64.00,0.00
DadosHidrometereologicos10,9,33480000,2023-07-08 21:30:00,34.10,64.00,0.00
DadosHidrometereologicos11,10,33480000,2023-07-08 21:15:00,34.10,64.00,0.00
DadosHidrometereologicos12,11,33480000,2023-07-08 21:00:00,34.10,64.00,0.00
DadosHidrometereologicos13,12,33480000,2023-07-08 20:45:00,34.10,64.00,0.00
DadosHidrometereologicos14,13,33480000,2023-07-08 20:30:00,34.10,64.00,0.00
DadosHidrometereologicos15,14,33480000,2023-07-08 20:15:00,34.10,64.00,0.00
DadosHidrometereologicos16,15,33480000,2023-07-08 20:00:00,34.10,64.00,0.00
DadosHidrometereologicos17,16,33480000,2023-07-08 19:45:00,34.10,64.00,0.00
DadosHidrometereologicos18,17,33480000,2023-07-08 19:30:00,34.10,64.00,0.00
DadosHidrometereologicos19,18,33480000,2023-07-08 19:15:00,34.10,64.00,0.00
DadosHidrometereologicos20,19,33480000,2023-07-08 19:00:00,34.10,64.00,0.00
DadosHidrometereologicos21,20,33480000,2023-07-08 18:45:00,34.10,64.00,0.00
DadosHidrometereologicos22,21,33480000,2023-07-08 18:30:00,34.10,64.00,0.00
DadosHidrometereologicos23,22,33480000,2023-07-08 18:15:00,34.10,64.00,0.00
DadosHidrometereologicos24,23,33480000,2023-07-08 18:00:00,34.10,64.00,0.00
DadosHidrometereologicos25,24,33480000,2023-07-08 17:45:00,34.10,64.00,0.00
DadosHidrometereologicos26,25,33480000,2023-07-08 17:30:00,34.10,64.00,0.00
DadosHidrometereologicos27,26,33480000,2023-07-08 17:15:00,34.10,64.00,0.00
DadosHidrometereologicos28,27,33480000,2023-07-08 17:00:00,34.10,64.00,0.00
DadosHidrometereologicos29,28,33480000,2023-07-08 16:45:00,34.10,64.00,0.00
DadosHidrometereologicos30,29,33480000,2023-07-08 16:30:00,34.10,64.00,0.00
DadosHidrometereologicos31,30,33480000,2023-07-08 16:15:00,34.10,64.00,0.00
DadosHidrometereologicos32,31,33480000,2023-07-08 16:00:00,34.10,64.00,0.00
DadosHidrometereologicos33,32,33480000,2023-07-08 15:45:00,34.10,64.00,0.00
DadosHidrometereologicos34,33,33480000,2023-07-08 15:30:00,34.10,64.00,0.00
DadosHidrometereologicos35,34,33480000,2023-07-08 15:15:00,34.10,64.00,0.00
DadosHidrometereologicos36,35,33480000,2023-07-08 15:00:00,34.10,64.00,0.00
DadosHidrometereologicos37,36,33480000,2023-07-08 14:45:00,34.10,64.00,0.00
DadosHidrometereologicos38,37,33480000,2023-07-08 14:30:00,34.10,64.00,0.00
DadosHidrometereologicos39,38,33480000,2023-07-08 14:15:00,34.10,64.00,0.00
DadosHidrometereologicos40,39,33480000,2023-07-08 14:00:00,34.10,64.00,0.00
DadosHidrometereologicos41,40,33480000,2023-07-08 13:45:00,34.10,64.00,0.00
DadosHidrometereologicos42,41,33480000,2023-07-08 13:30:00,34.37,65.00,0.00
DadosHidrometereologicos43,42,33480000,2023-07-08 13:15:00,34.37,65.00,0.00
