@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,23490000,2023-07-08 23:00:00,1347.00,15569.00,0.00
DadosHidrometereologicos2,1,23490000,2023-07-08 22:00:00,1347.00,15568.00,0.00
DadosHidrometereologicos3,2,23490000,2023-07-08 21:00:00,1347.00,15568.00,0.00
DadosHidrometereologicos4,3,23490000,2023-07-08 20:00:00,1347.00,15569.00,0.00
DadosHidrometereologicos5,4,23490000,2023-07-08 19:00:00,1352.00,15568.00,0.00
DadosHidrometereologicos6,5,23490000,2023-07-08 18:00:00,1356.00,15568.00,0.00
DadosHidrometereologicos7,6,23490000,2023-07-08 17:00:00,1356.00,15566.00,0.00
DadosHidrometereologicos8,7,23490000,2023-07-08 16:00:00,1356.00,15569.00,0.00
DadosHidrometereologicos9,8,23490000,2023-07-08 15:00:00,1347.00,15568.00,0.00
DadosHidrometereologicos10,9,23490000,2023-07-08 14:00:00,1352.00,15568.00,0.00
DadosHidrometereologicos11,10,23490000,2023-07-08 13:00:00,1352.00,15569.00,0.00
DadosHidrometereologicos12,11,23490000,2023-07-08 12:00:00,1356.00,15566.00,0.00
DadosHidrometereologicos13,12,23490000,2023-07-08 11:00:00,1352.00,15569.00,0.00
DadosHidrometereologicos14,13,23490000,2023-07-08 10:00:00,1338.00,15569.00,0.00
DadosHidrometereologicos15,14,23490000,2023-07-08 09:00:00,1343.00,15569.00,0.00
DadosHidrometereologicos16,15,23490000,2023-07-08 08:00:00,1328.00,15569.00,0.00
DadosHidrometereologicos17,16,23490000,2023-07-08 07:00:00,1343.00,15569.00,0.00
DadosHidrometereologicos18,17,23490000,2023-07-08 06:00:00,1347.00,15568.00,0.00
DadosHidrometereologicos19,18,23490000,2023-07-08 05:00:00,1356.00,15568.00,0.00
DadosHidrometereologicos20,19,23490000,2023-07-08 04:00:00,1352.00,15569.00,0.00
DadosHidrometereologicos21,20,23490000,2023-07-08 03:00:00,1347.00,15569.00,0.00
DadosHidrometereologicos22,21,23490000,2023-07-08 02:00:00,1343.00,15568.00,0.00
DadosHidrometereologicos23,22,23490000,2023-07-08 01:00:00,1328.00,15569.00,0.00
DadosHidrometereologicos24,23,23490000,2023-07-08 00:00:00,1343.00,15569.00,0.00
