@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,33380000,2023-07-08 23:45:00,22.35,154.00,0.00
DadosHidrometereologicos2,1,33380000,2023-07-08 23:30:00,22.02,153.00,0.00
DadosHidrometereologicos3,2,33380000,2023-07-08 23:15:00,21.68,152.00,0.00
DadosHidrometereologicos4,3,33380000,2023-07-08 23:00:00,21.68,152.00,0.00
DadosHidrometereologicos5,4,33380000,2023-07-08 22:45:00,21.02,150.00,0.00
DadosHidrometereologicos6,5,33380000,2023-07-08 22:30:00,21.35,151.00,0.00
DadosHidrometereologicos7,6,33380000,2023-07-08 22:15:00,21.02,150.00,0.00
DadosHidrometereologicos8,7,33380000,2023-07-08 22:00:00,21.68,152.00,0.00
DadosHidrometereologicos9,8,33380000,2023-07-08 21:45:00,20.36,148.00,0.00
DadosHidrometereologicos10,9,33380000,2023-07-08 21:30:00,20.36,148.00,0.00
DadosHidrometereologicos11,10,33380000,2023-07-08 21:15:00,20.03,147.00,0.00
DadosHidrometereologicos12,11,33380000,2023-07-08 21:00:00,19.71,146.00,0.00
DadosHidrometereologicos13,12,33380000,2023-07-08 20:45:00,19.71,146.00,0.00
DadosHidrometereologicos14,13,33380000,2023-07-08 20:30:00,19.71,146.00,0.00
DadosHidrometereologicos15,14,33380000,2023-07-08 20:15:00,19.71,146.00,0.00
DadosHidrometereologicos16,15,33380000,2023-07-08 20:00:00,19.71,146.00,0.00
DadosHidrometereologicos17,16,33380000,2023-07-08 19:45:00,19.71,146.00,0.00
DadosHidrometereologicos18,17,33380000,2023-07-08 19:30:00,19.71,146.00,0.00
DadosHidrometereologicos19,18,33380000,2023-07-08 19:15:00,19.39,145.00,0.00
DadosHidrometereologicos20,19,33380000,2023-07-08 19:00:00,19.07,144.00,0.00
DadosHidrometereologicos21,20,33380000,2023-07-08 18:45:00,18.75,143.00,0.00
DadosHidrometereologicos22,21,33380000,2023-07-08 18:30:00,19.07,144.00,0.00
DadosHidrometereologicos23,22,33380000,2023-07-08 18:15:00,19.39,145.00,0.00
DadosHidrometereologicos24,23,33380000,2023-07-08 18:00:00,19.39,145.00,0.20
DadosHidrometereologicos25,24,33380000,2023-07-08 17:45:00,19.39,145.00,1.40
DadosHidrometereologicos26,25,33380000,2023-07-08 17:30:00,19.39,145.00,0.00
DadosHidrometereologicos27,26,33380000,2023-07-08 17:15:00,19.39,145.00,0.00
DadosHidrometereologicos28,27,33380000,2023-07-08 17:00:00,20.36,148.00,0.00
DadosHidrometereologicos29,28,33380000,2023-07-08 16:45:00,20.36,148.00,0.00
DadosHidrometereologicos30,29,33380000,2023-07-08 16:30:00,20.36,148.00,0.00
