@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,33420000,2023-06-15 23:45:00,13.10,268.00,0.00
DadosHidrometereologicos2,1,33420000,2023-06-15 23:30:00,13.10,268.00,0.00
DadosHidrometereologicos3,2,33420000,2023-06-15 23:15:00,13.10,268.00,0.00
DadosHidrometereologicos4,3,33420000,2023-06-15 23:00:00,13.10,268.00,0.00
DadosHidrometereologicos5,4,33420000,2023-06-15 22:45:00,13.10,268.00,0.00
DadosHidrometereologicos6,5,33420000,2023-06-15 22:30:00,13.10,268.00,0.00
DadosHidrometereologicos7,6,33420000,2023-06-15 22:15:00,13.10,268.00,0.00
DadosHidrometereologicos8,7,33420000,2023-06-15 22:00:00,13.10,268.00,0.00
DadosHidrometereologicos9,8,33420000,2023-06-15 21:45:00,13.10,268.00,0.00
DadosHidrometereologicos10,9,33420000,2023-06-15 21:30:00,13.10,268.00,0.00
DadosHidrometereologicos11,10,33420000,2023-06-15 21:15:00,13.10,268.00,0.00
DadosHidrometereologicos12,11,33420000,2023-06-15 21:00:00,13.10,268.00,0.00
DadosHidrometereologicos13,12,33420000,2023-06-15 20:45:00,13.10,268.00,0.00
DadosHidrometereologicos14,13,33420000,2023-06-15 20:30:00,13.10,268.00,0.00
DadosHidrometereologicos15,14,33420000,2023-06-15 20:15:00,13.10,268.00,0.00
DadosHidrometereologicos16,15,33420000,2023-06-15 20:00:00,13.10,268.00,0.00
DadosHidrometereologicos17,16,33420000,2023-06-15 19:45:00,13.10,268.00,0.00
DadosHidrometereologicos18,17,33420000,2023-06-15 19:30:00,13.10,268.00,0.00
DadosHidrometereologicos19,18,33420000,2023-06-15 19:15:00,13.10,268.00,0.00
DadosHidrometereologicos20,19,33420000,2023-06-15 19:00:00,13.10,268.00,0.00
DadosHidrometereologicos21,20,33420000,2023-06-15 18:45:00,13.10,268.00,0.00
DadosHidrometereologicos22,21,33420000,2023-06-15 18:30:00,13.10,268.00,0.00
DadosHidrometereologicos23,22,33420000,2023-06-15 18:15:00,13.10,268.00,0.00
DadosHidrometereologicos24,23,33420000,2023-06-15 18:00:00,13.10,268.00,0.00
DadosHidrometereologicos25,24,33420000,2023-06-15 17:45:00,13.10,268.00,0.00
DadosHidrometereologicos26,25,33420000,2023-06-15 17:30:00,13.10,268.00,0.00
DadosHidrometereologicos27,26,33420000,2023-06-15 17:15:00,13.10,268.00,0.00
DadosHidrometereologicos28,27,33420000,2023-06-15 17:00:00,13.10,268.00,0.00
DadosHidrometereologicos29,28,33420000,2023-06-15 16:45:00,13.10,268.00,0.00
DadosHidrometereologicos30,29,33420000,2023-06-15 16:30:00,13.10,268.00,0.00
DadosHidrometereologicos31,30,33420000,2023-06-15 16:15:00,13.10,268.00,0.00
DadosHidrometereologicos32,31,33420000,2023-06-15 16:00:00,13.10,268.00,0.00
DadosHidrometereologicos33,32,33420000,2023-06-15 15:45:00,13.10,268.00,0.00
DadosHidrometereologicos34,33,33420000,2023-06-15 15:30:00,13.10,268.00,0.00
DadosHidrometereologicos35,34,33420000,2023-06-15 15:15:00,13.10,268.00,0.00
DadosHidrometereologicos36,35,33420000,2023-06-15 15:00:00,13.10,268.00,0.00
DadosHidrometereologicos37,36,33420000,2023-06-15 14:45:00,13.10,268.00,0.00
DadosHidrometereologicos38,37,33420000,2023-06-15 14:30:00,13.10,268.00,0.00
DadosHidrometereologicos39,38,33420000,2023-06-15 14:15:00,13.10,268.00,0.00
DadosHidrometereologicos40,39,33420000,2023-06-15 14:00:00,13.10,268.00,0.00
DadosHidrometereologicos41,40,33420000,2023-06-15 13:45:00,13.21,269.00,0.20
DadosHidrometereologicos42,41,33420000,2023-06-15 13:30:00,13.10,268.00,0.00
DadosHidrometereologicos43,42,33420000,2023-06-15 13:15:00,13.21,269.00,0.00
DadosHidrometereologicos44,43,33420000,2023-06-15 13:00:00,13.21,269.00,0.00
DadosHidrometereologicos45,44,33420000,2023-06-15 12:45:00,13.21,269.00,0.00
DadosHidrometereologicos46,45,33420000,2023-06-15 12:30:00,13.21,269.00,0.00
DadosHidrometereologicos47,46,33420000,2023-06-15 12:15:00,13.21,269.00,0.00
DadosHidrometereologicos48,47,33420000,2023-06-15 12:00:00,13.21,269.00,0.00
DadosHidrometereologicos49,48,33420000,2023-06-15 11:45:00,13.21,269.00,0.00
DadosHidrometereologicos50,49,33420000,2023-06-15 11:30:00,13.21,269.00,0.00
DadosHidrometereologicos51,50,33420000,2023-06-15 11:15:00,13.21,269.00,0.00
DadosHidrometereologicos52,51,33420000,2023-06-15 11:00:00,13.21,269.00,0.00
DadosHidrometereologicos53,52,33420000,2023-06-15 10:45:00,13.21,269.00,0.00
DadosHidrometereologicos54,53,33420000,2023-06-15 10:30:00,13.21,269.00,0.00
DadosHidrometereologicos55,54,33420000,2023-06-15 10:15:00,13.21,269.00,0.00
DadosHidrometereologicos56,55,33420000,2023-06-15 10:00:00,13.21,269.00,0.00
DadosHidrometereologicos57,56,33420000,2023-06-15 09:45:00,13.21,269.00,0.00
DadosHidrometereologicos58,57,33420000,2023-06-15 09:30:00,13.21,269.00,0.00
DadosHidrometereologicos59,58,33420000,2023-06-15 09:15:00,13.21,269.00,0.00
DadosHidrometereologicos60,59,33420000,2023-06-15 09:00:00,13.21,269.00,0.00
DadosHidrometereologicos61,60,33420000,2023-06-15 08:45:00,13.21,269.00,0.00
DadosHidrometereologicos62,61,33420000,2023-06-15 08:30:00,13.21,269.00,0.00
DadosHidrometereologicos63,62,33420000,2023-06-15 08:15:00,13.21,269.00,0.00
DadosHidrometereologicos64,63,33420000,2023-06-15 08:00:00,13.21,269.00,0.00
DadosHidrometereologicos65,64,33420000,2023-06-15 07:45:00,13.21,269.00,0.00
DadosHidrometereologicos66,65,33420000,2023-06-15 07:30:00,13.21,269.00,0.00
DadosHidrometereologicos67,66,33420000,2023-06-15 07:15:00,13.21,269.00,0.00
DadosHidrometereologicos68,67,33420000,2023-06-15 07:00:00,13.21,269.00,0.00
DadosHidrometereologicos69,68,33420000,2023-06-15 06:45:00,13.21,269.00,0.00
DadosHidrometereologicos70,69,33420000,2023-06-15 06:30:00,13.21,269.00,0.00
DadosHidrometereologicos71,70,33420000,2023-06-15 06:15:00,13.21,269.00,0.00
DadosHidrometereologicos72,71,33420000,2023-06-15 06:00:00,13.21,269.00,0.00
DadosHidrometereologicos73,72,33420000,2023-06-15 05:45:00,13.21,269.00,0.00
DadosHidrometereologicos74,73,33420000,2023-06-15 05:30:00,13.21,269.00,0.00
DadosHidrometereologicos75,74,33420000,2023-06-15 05:15:00,13.21,269.00,0.00
DadosHidrometereologicos76,75,33420000,2023-06-15 05:00:00,13.21,269.00,0.00
DadosHidrometereologicos77,76,33420000,2023-06-15 04:45:00,13.21,269.00,0.00
DadosHidrometereologicos78,77,33420000,2023-06-15 04:30:00,13.21,269.00,0.00
DadosHidrometereologicos79,78,33420000,2023-06-15 04:15:00,13.21,269.00,0.00
DadosHidrometereologicos80,79,33420000,2023-06-15 04:00:00,13.21,269.00,0.00
DadosHidrometereologicos81,80,33420000,2023-06-15 03:45:00,13.21,269.00,0.00
