@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,946005,2023-06-15 17:45:00,,,0.00
DadosHidrometereologicos2,1,946005,2023-06-15 17:30:00,,,0.00
DadosHidrometereologicos3,2,946005,2023-06-15 17:15:00,,,0.00
DadosHidrometereologicos4,3,946005,2023-06-15 17:00:00,,,0.00
DadosHidrometereologicos5,4,946005,2023-06-15 16:45:00,,,0.00
DadosHidrometereologicos6,5,946005,2023-06-15 16:30:00,,,0.00
DadosHidrometereologicos7,6,946005,2023-06-15 16:15:00,,,0.00
DadosHidrometereologicos8,7,946005,2023-06-15 16:00:00,,,0.00
DadosHidrometereologicos9,8,946005,2023-06-15 15:45:00,,,0.00
DadosHidrometereologicos10,9,946005,2023-06-15 15:30:00,,,0.00
DadosHidrometereologicos11,10,946005,2023-06-15 15:15:00,,,0.00
DadosHidrometereologicos12,11,946005,2023-06-15 15:00:00,,,0.00
DadosHidrometereologicos13,12,946005,2023-06-15 14:45:00,,,0.00
DadosHidrometereologicos14,13,946005,2023-06-15 14:30:00,,,0.00
DadosHidrometereologicos15,14,946005,2023-06-15 14:15:00,,,0.00
DadosHidrometereologicos16,15,946005,2023-06-15 14:00:00,,,0.00
DadosHidrometereologicos17,16,946005,2023-06-15 13:45:00,,,0.00
DadosHidrometereologicos18,17,946005,2023-06-15 13:30:00,,,0.00
DadosHidrometereologicos19,18,946005,2023-06-15 13:15:00,,,0.00
DadosHidrometereologicos20,19,946005,2023-06-15 13:00:00,,,0.00
DadosHidrometereologicos21,20,946005,2023-06-15 12:45:00,,,0.00
DadosHidrometereologicos22,21,946005,2023-06-15 12:30:00,,,0.00
DadosHidrometereologicos23,22,946005,2023-06-15 12:15:00,,,0.00
DadosHidrometereologicos24,23,946005,2023-06-15 12:00:00,,,0.00
DadosHidrometereologicos25,24,946005,2023-06-15 11:45:00,,,0.00
DadosHidrometereologicos26,25,946005,2023-06-15 11:30:00,,,0.00
DadosHidrometereologicos27,26,946005,2023-06-15 11:15:00,,,0.00
DadosHidrometereologicos28,27,946005,2023-06-15 11:00:00,,,0.00
DadosHidrometereologicos29,28,946005,2023-06-15 10:45:00,,,0.00
DadosHidrometereologicos30,29,946005,2023-06-15 10:30:00,,,0.00
DadosHidrometereologicos31,30,946005,2023-06-15 10:15:00,,,0.00
DadosHidrometereologicos32,31,946005,2023-06-15 10:00:00,,,0.00
DadosHidrometereologicos33,32,946005,2023-06-15 09:45:00,,,0.00
DadosHidrometereologicos34,33,946005,2023-06-15 09:30:00,,,0.00
DadosHidrometereologicos35,34,946005,2023-06-15 09:15:00,,,0.00
DadosHidrometereologicos36,35,946005,2023-06-15 09:00:00,,,0.00
DadosHidrometereologicos37,36,946005,2023-06-15 08:45:00,,,0.00
DadosHidrometereologicos38,37,946005,2023-06-15 08:30:00,,,0.00
DadosHidrometereologicos39,38,946005,2023-06-15 08:15:00,,,0.00
DadosHidrometereologicos40,39,946005,2023-06-15 08:00:00,,,0.00
DadosHidrometereologicos41,40,946005,2023-06-15 07:45:00,,,0.00
DadosHidrometereologicos42,41,946005,2023-06-15 07:30:00,,,
DadosHidrometereologicos43,42,946005,2023-06-15 07:15:00,,,
DadosHidrometereologicos44,43,946005,2023-06-15 07:00:00,,,
DadosHidrometereologicos45,44,946005,2023-06-15 06:45:00,,,0.00
DadosHidrometereologicos46,45,946005,2023-06-15 06:30:00,,,
DadosHidrometereologicos47,46,946005,2023-06-15 06:15:00,,,
DadosHidrometereologicos48,47,946005,2023-06-15 06:00:00,,,
DadosHidrometereologicos49,48,946005,2023-06-15 05:45:00,,,0.00
DadosHidrometereologicos50,49,946005,2023-06-15 05:30:00,,,
DadosHidrometereologicos51,50,946005,2023-06-15 05:15:00,,,
DadosHidrometereologicos52,51,946005,2023-06-15 05:00:00,,,
