@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,23490000,2023-06-15 23:00:00,1600.00,15587.00,0.00
DadosHidrometereologicos2,1,23490000,2023-06-15 22:00:00,1603.00,15587.00,0.00
DadosHidrometereologicos3,2,23490000,2023-06-15 21:00:00,2336.00,15587.00,0.00
DadosHidrometereologicos4,3,23490000,2023-06-15 20:00:00,3267.00,15581.00,0.00
DadosHidrometereologicos5,4,23490000,2023-06-15 19:00:00,3272.00,15582.00,0.00
DadosHidrometereologicos6,5,23490000,2023-06-15 18:00:00,3290.00,15580.00,0.00
DadosHidrometereologicos7,6,23490000,2023-06-15 17:00:00,3285.00,15580.00,0.00
DadosHidrometereologicos8,7,23490000,2023-06-15 16:00:00,2344.00,15585.00,0.00
DadosHidrometereologicos9,8,23490000,2023-06-15 15:00:00,1612.00,15590.00,0.00
DadosHidrometereologicos10,9,23490000,2023-06-15 14:00:00,1621.00,15590.00,0.00
DadosHidrometereologicos11,10,23490000,2023-06-15 13:00:00,1612.00,15588.00,0.00
DadosHidrometereologicos12,11,23490000,2023-06-15 12:00:00,1612.00,15587.00,0.00
DadosHidrometereologicos13,12,23490000,2023-06-15 11:00:00,1318.00,15588.00,0.00
DadosHidrometereologicos14,13,23490000,2023-06-15 10:00:00,854.00,15591.00,0.00
DadosHidrometereologicos15,14,23490000,2023-06-15 09:00:00,854.00,15591.00,0.00
DadosHidrometereologicos16,15,23490000,2023-06-15 08:00:00,861.00,15591.00,0.00
DadosHidrometereologicos17,16,23490000,2023-06-15 07:00:00,864.00,15588.00,0.00
DadosHidrometereologicos18,17,23490000,2023-06-15 06:00:00,867.00,15588.00,0.00
DadosHidrometereologicos19,18,23490000,2023-06-15 05:00:00,870.00,15587.00,0.00
DadosHidrometereologicos20,19,23490000,2023-06-15 04:00:00,854.00,15590.00,0.00
DadosHidrometereologicos21,20,23490000,2023-06-15 03:00:00,854.00,15588.00,0.00
DadosHidrometereologicos22,21,23490000,2023-06-15 02:00:00,851.00,15590.00,0.00
DadosHidrometereologicos23,22,23490000,2023-06-15 01:00:00,1313.00,15584.00,0.00
DadosHidrometereologicos24,23,23490000,2023-06-15 00:00:00,1596.00,15586.00,0.00
