@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,23490000,2023-07-14 16:00:00,1044.00,15579.00,0.00
DadosHidrometereologicos2,1,23490000,2023-07-14 15:00:00,1048.00,15580.00,0.00
DadosHidrometereologicos3,2,23490000,2023-07-14 14:00:00,1044.00,15579.00,0.00
DadosHidrometereologicos4,3,23490000,2023-07-14 13:00:00,1039.00,15577.00,0.00
DadosHidrometereologicos5,4,23490000,2023-07-14 12:00:00,1034.00,15578.00,0.00
DadosHidrometereologicos6,5,23490000,2023-07-14 11:00:00,1048.00,15578.00,0.00
DadosHidrometereologicos7,6,23490000,2023-07-14 10:00:00,1048.00,15579.00,0.00
DadosHidrometereologicos8,7,23490000,2023-07-14 09:00:00,1039.00,15580.00,0.00
DadosHidrometereologicos9,8,23490000,2023-07-14 08:00:00,1058.00,15576.00,0.00
DadosHidrometereologicos10,9,23490000,2023-07-14 07:00:00,1044.00,15577.00,0.00
DadosHidrometereologicos11,10,23490000,2023-07-14 06:00:00,1053.00,15577.00,0.00
DadosHidrometereologicos12,11,23490000,2023-07-14 05:00:00,1053.00,15577.00,0.00
DadosHidrometereologicos13,12,23490000,2023-07-14 04:00:00,1048.00,15577.00,0.00
DadosHidrometereologicos14,13,23490000,2023-07-14 03:00:00,1034.00,15577.00,0.00
DadosHidrometereologicos15,14,23490000,2023-07-14 02:00:00,1039.00,15577.00,0.00
DadosHidrometereologicos16,15,23490000,2023-07-14 01:00:00,1024.00,15577.00,0.00
DadosHidrometereologicos17,16,23490000,2023-07-14 00:00:00,1024.00,15576.00,0.00
