@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,33380000,2023-07-09 23:45:00,13.33,125.00,0.00
DadosHidrometereologicos2,1,33380000,2023-07-09 23:30:00,13.33,125.00,0.00
DadosHidrometereologicos3,2,33380000,2023-07-09 23:15:00,13.61,126.00,0.00
DadosHidrometereologicos4,3,33380000,2023-07-09 23:00:00,13.33,125.00,0.00
DadosHidrometereologicos5,4,33380000,2023-07-09 22:45:00,13.33,125.00,0.00
DadosHidrometereologicos6,5,33380000,2023-07-09 22:30:00,13.33,125.00,0.00
DadosHidrometereologicos7,6,33380000,2023-07-09 22:15:00,13.33,125.00,0.00
DadosHidrometereologicos8,7,33380000,2023-07-09 22:00:00,12.49,122.00,0.00
DadosHidrometereologicos9,8,33380000,2023-07-09 21:45:00,12.77,123.00,0.00
DadosHidrometereologicos10,9,33380000,2023-07-09 21:30:00,13.05,124.00,0.00
DadosHidrometereologicos11,10,33380000,2023-07-09 21:15:00,12.77,123.00,0.00
DadosHidrometereologicos12,11,33380000,2023-07-09 21:00:00,13.05,124.00,0.00
DadosHidrometereologicos13,12,33380000,2023-07-09 20:45:00,13.05,124.00,0.00
DadosHidrometereologicos14,13,33380000,2023-07-09 20:30:00,13.05,124.00,0.00
DadosHidrometereologicos15,14,33380000,2023-07-09 20:15:00,13.33,125.00,0.00
DadosHidrometereologicos16,15,33380000,2023-07-09 20:00:00,13.90,127.00,0.00
DadosHidrometereologicos17,16,33380000,2023-07-09 19:45:00,14.19,128.00,0.00
DadosHidrometereologicos18,17,33380000,2023-07-09 19:30:00,14.19,128.00,0.00
DadosHidrometereologicos19,18,33380000,2023-07-09 19:15:00,14.48,129.00,0.00
DadosHidrometereologicos20,19,33380000,2023-07-09 19:00:00,14.77,130.00,0.00
DadosHidrometereologicos21,20,33380000,2023-07-09 18:45:00,15.36,132.00,0.00
DadosHidrometereologicos22,21,33380000,2023-07-09 18:30:00,16.26,135.00,0.00
DadosHidrometereologicos23,22,33380000,2023-07-09 18:15:00,15.66,133.00,0.00
DadosHidrometereologicos24,23,33380000,2023-07-09 18:00:00,16.26,135.00,0.00
DadosHidrometereologicos25,24,33380000,2023-07-09 17:45:00,16.57,136.00,0.00
DadosHidrometereologicos26,25,33380000,2023-07-09 17:30:00,15.96,134.00,0.00
DadosHidrometereologicos27,26,33380000,2023-07-09 17:15:00,16.26,135.00,0.00
DadosHidrometereologicos28,27,33380000,2023-07-09 17:00:00,16.26,135.00,0.00
DadosHidrometereologicos29,28,33380000,2023-07-09 16:45:00,16.87,137.00,0.00
DadosHidrometereologicos30,29,33380000,2023-07-09 16:30:00,16.87,137.00,0.00
DadosHidrometereologicos31,30,33380000,2023-07-09 16:15:00,17.80,140.00,0.00
DadosHidrometereologicos32,31,33380000,2023-07-09 16:00:00,17.49,139.00,0.00
DadosHidrometereologicos33,32,33380000,2023-07-09 15:45:00,17.80,140.00,0.00
DadosHidrometereologicos34,33,33380000,2023-07-09 15:30:00,18.43,142.00,0.00
DadosHidrometereologicos35,34,33380000,2023-07-09 15:15:00,18.43,142.00,0.00
DadosHidrometereologicos36,35,33380000,2023-07-09 15:00:00,18.43,142.00,0.00
DadosHidrometereologicos37,36,33380000,2023-07-09 14:45:00,19.39,145.00,0.00
DadosHidrometereologicos38,37,33380000,2023-07-09 14:30:00,20.36,148.00,0.00
DadosHidrometereologicos39,38,33380000,2023-07-09 14:15:00,20.36,148.00,0.00
DadosHidrometereologicos40,39,33380000,2023-07-09 14:00:00,21.35,151.00,0.00
DadosHidrometereologicos41,40,33380000,2023-07-09 13:45:00,21.35,151.00,0.00
DadosHidrometereologicos42,41,33380000,2023-07-09 13:30:00,21.35,151.00,0.00
DadosHidrometereologicos43,42,33380000,2023-07-09 13:15:00,22.02,153.00,0.00
DadosHidrometereologicos44,43,33380000,2023-07-09 13:00:00,22.02,153.00,0.00
