@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,34129980,2023-07-11 23:00:00,254.00,469.00,0.00
DadosHidrometereologicos2,1,34129980,2023-07-11 22:00:00,254.00,469.00,0.00
DadosHidrometereologicos3,2,34129980,2023-07-11 21:00:00,255.00,470.00,0.00
DadosHidrometereologicos4,3,34129980,2023-07-11 20:00:00,254.00,469.00,0.00
DadosHidrometereologicos5,4,34129980,2023-07-11 19:00:00,254.00,469.00,0.00
DadosHidrometereologicos6,5,34129980,2023-07-11 18:00:00,255.00,470.00,0.00
DadosHidrometereologicos7,6,34129980,2023-07-11 17:00:00,254.00,469.00,0.00
DadosHidrometereologicos8,7,34129980,2023-07-11 16:00:00,254.00,469.00,0.00
DadosHidrometereologicos9,8,34129980,2023-07-11 15:00:00,254.00,469.00,10.60
DadosHidrometereologicos10,9,34129980,2023-07-11 14:00:00,254.00,469.00,0.00
DadosHidrometereologicos11,10,34129980,2023-07-11 13:00:00,255.00,470.00,0.00
DadosHidrometereologicos12,11,34129980,2023-07-11 12:00:00,255.00,470.00,0.00
DadosHidrometereologicos13,12,34129980,2023-07-11 11:00:00,254.00,469.00,0.00
DadosHidrometereologicos14,13,34129980,2023-07-11 10:00:00,255.00,470.00,0.00
DadosHidrometereologicos15,14,34129980,2023-07-11 09:00:00,255.00,470.00,0.00
DadosHidrometereologicos16,15,34129980,2023-07-11 08:00:00,255.00,470.00,0.00
DadosHidrometereologicos17,16,34129980,2023-07-11 07:00:00,254.00,469.00,0.00
DadosHidrometereologicos18,17,34129980,2023-07-11 06:00:00,254.00,469.00,0.00
DadosHidrometereologicos19,18,34129980,2023-07-11 05:00:00,254.00,469.00,0.00
DadosHidrometereologicos20,19,34129980,2023-07-11 04:00:00,254.00,469.00,0.00
DadosHidrometereologicos21,20,34129980,2023-07-11 03:00:00,254.00,469.00,0.00
DadosHidrometereologicos22,21,34129980,2023-07-11 02:00:00,254.00,469.00,0.00
DadosHidrometereologicos23,22,34129980,2023-07-11 01:00:00,254.00,469.00,0.00
DadosHidrometereologicos24,23,34129980,2023-07-11 00:00:00,254.00,469.00,0.00
